codgeo,libgeo,zonage_rur
02352,Gouy,tr3
02353,Grandlup-et-Fay,tr4
02354,Grandrieux,tr1
02355,Gricourt,tr4
02356,Grisolles,tr1
02357,Gronard,tr1
02358,Grougis,tr2
02359,Grugies,tr5
02360,Villeneuve-sur-Aisne,tr4
02361,Guise,tr2
02362,Guivry,tr1
02363,Guny,tr2
02364,Guyencourt,tr4
02366,Hannapes,tr2
02367,Happencourt,tr3
02368,Haramont,tr3
02369,Harcigny,tr1
02370,Hargicourt,tr4
02371,Harly,tr5
02372,Hartennes-et-Taux,tr3
02373,Hary,tr1
02374,Lehaucourt,tr4
02375,Hautevesnes,tr4
02376,Hauteville,tr3
02377,Haution,tr1
02378,La Hérie,tr1
02379,Le Hérie-la-Viéville,tr1
02380,Hinacourt,tr4
02381,Hirson,tr5
02382,Holnon,tr4
02383,Homblières,tr4
02384,Houry,tr1
02385,Housset,tr1
02386,Iron,tr1
02387,Itancourt,tr4
02388,Iviers,tr1
02389,Jaulgonne,tr2
02390,Jeancourt,tr4
02391,Jeantes,tr1
02392,Joncourt,tr4
02393,Jouaignes,tr1
02395,Jumencourt,tr3
02396,Jumigny,tr3
02397,Jussy,tr3
02398,Juvigny,tr4
02399,Juvincourt-et-Damary,tr4
02400,Laffaux,tr4
02401,Laigny,tr1
02402,Lanchy,tr3
02403,Landifay-et-Bertaignemont,tr1
02404,Landouzy-la-Cour,tr2
02405,Landouzy-la-Ville,tr1
02406,Landricourt,tr3
02407,Laniscourt,tr4
02408,Laon,tr5
02409,Lappion,tr1
02410,Largny-sur-Automne,tr3
02411,Latilly,tr1
02412,Launoy,tr3
02413,Laval-en-Laonnois,tr4
02414,Lavaqueresse,tr1
02415,Laversine,tr3
02416,Lemé,tr2
02417,Lempire,tr3
02418,Lerzy,tr1
02419,Leschelle,tr1
02420,Lesdins,tr4
02421,Lesges,tr3
02422,Lesquielles-Saint-Germain,tr2
02423,Leuilly-sous-Coucy,tr3
02424,Leury,tr4
02425,Leuze,tr1
02426,Levergies,tr4
02427,Lhuys,tr3
02428,Licy-Clignon,tr4
02429,Lierval,tr3
02430,Liesse-Notre-Dame,tr3
02431,Liez,tr2
02432,Limé,tr1
02433,Lislet,tr2
02435,Logny-lès-Aubenton,tr2
